ID,Date,Time,Weekday,Recipe,Ingredient,Planned Qty,Wastage Qty,Expected Waste Qty,Sales Qty,Unit,Unit Cost,Total Cost,Wastage Cost,Kitchen Station,Shift,Prep Method,Prep Time (mins),Shelf Life (days),Stock Received Date,Expiry Date,Supplier Name,Temperature (°C),Weather Condition,Peak Hour Flag,Branch,Branch Manager,Chef,Status,Chef_Feedback
1,31-Jan-25,12:15,Friday,Veg Fried Rice,Rice,13,1,1,10,kg,84,1092,84,Main Course Station,Afternoon,Boiled,29,180,26-Jan-25,25-Jul-25,GreenLeaf Suppliers,26,Sunny,TRUE,Los Angeles - Downtown,James,Chef Anna,,
2,17-Feb-25,17:00,Monday,Chocolate Milkshake,Milk,34,9,3,22,liters,57,1938,513,Soup Station,Morning,Boiled,41,4,13-Feb-25,17-Feb-25,Urban Harvest,25,Cloudy,FALSE,New York - Main,Robert,Chef Maria,,
3,13-Oct-24,21:00,Sunday,Grilled Chicken,Chicken,50,6,6,42,kg,253,12650,1518,Grill Station,Night,Grilled,29,2,08-Oct-24,10-Oct-24,GreenLeaf Suppliers,27,Cloudy,FALSE,Houston - Central,Emily,Chef Anna,,
4,19-Mar-25,21:00,Wednesday,Soda,Mixed Veg,40,5,4,34,kg,63,2520,315,Pastry Station,Morning,Boiled,38,3,15-Mar-25,18-Mar-25,Urban Harvest,34,Hot,FALSE,Los Angeles - Downtown,James,Chef Maria,,
5,21-Mar-25,19:30,Friday,Pasta Alfredo,Pasta,5,0,0,3,kg,112,560,0,Grill Station,Morning,Boiled,18,365,15-Mar-25,15-Mar-26,SpiceKart Foods,28,Sunny,TRUE,Houston - Central,Emily,Chef Maria,,
6,06-Jan-25,15:30,Monday,Spicy Chicken Wings,Chicken,7,1,0,5,kg,252,1764,252,Soup Station,Afternoon,Grilled,31,2,03-Jan-25,05-Jan-25,DailyDairy Ltd.,13,Cold,FALSE,New York - Main,Robert,Chef Maria,,
7,15-Feb-25,22:15,Saturday,Grilled Chicken,Chicken,25,4,3,18,kg,225,5625,900,Grill Station,Afternoon,Grilled,47,2,11-Feb-25,13-Feb-25,DailyDairy Ltd.,29,Sunny,FALSE,Los Angeles - Downtown,James,Chef Maria,,
8,01-Dec-24,08:00,Sunday,Brownie,Chocolate,39,10,4,26,grams,168,6552,1680,Pastry Station,Morning,Baked,39,90,27-Nov-24,25-Feb-25,SpiceKart Foods,22,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
9,14-Feb-24,16:30,Wednesday,Veg Fried Rice,Rice,9,0,1,9,kg,83,747,0,Main Course Station,Afternoon,Boiled,38,180,07-Feb-24,05-Aug-24,SpiceKart Foods,24,Rainy,FALSE,Los Angeles - Downtown,James,Chef Anna,,
10,24-Mar-24,16:00,Sunday,Cheesecake,Cheese,40,4,3,35,grams,210,8400,840,Salad Station,Morning,Raw,16,10,21-Mar-24,31-Mar-24,DailyDairy Ltd.,10,Cold,FALSE,Houston - Central,Emily,Chef Lee,,
